Br.,"Naziv Tima",Iskustvo,"Zasto Ste Se Prijavili","Prednosti / Mane","Kada Bi Odustali",CV
69,GaGi,Ne,Motivacija,Prednost,Korona,gagidrive
Br.,"Ime i Prezime",Email,Telefon,"Fax / Škola",Godina
1,1,1@1.com,1,1,1
2,2,2@2.com,2,2,2
3,3,2@2.com,3,33,3
4,4,2@2.com,44,4,4
Br.,"Naziv Tima",Iskustvo,"Zasto Ste Se Prijavili","Prednosti / Mane","Kada Bi Odustali",CV
69,GaGi,Ne,Motivacija,Prednost,Korona,gagidrive
Br.,"Ime i Prezime",Email,Telefon,"Fax / Škola",Godina
1,1,1@1.com,1,1,1
2,2,2@2.com,2,2,2
3,3,2@2.com,3,33,3
4,4,2@2.com,44,4,4
Br.,"Naziv Tima",Iskustvo,"Zasto Ste Se Prijavili","Prednosti / Mane","Kada Bi Odustali",CV
69,GaGi,Ne,Motivacija,Prednost,Korona,gagidrive
Br.,"Ime i Prezime",Email,Telefon,"Fax / Škola",Godina
1,1,1@1.com,1,1,1
2,2,2@2.com,2,2,2
3,3,2@2.com,3,33,3
4,4,2@2.com,44,4,4
Br.,"Naziv Tima",Iskustvo,"Zasto Ste Se Prijavili","Prednosti / Mane","Kada Bi Odustali",CV
69,GaGi,Ne,Motivacija,Prednost,Korona,gagidrive
Br.,"Ime i Prezime",Email,Telefon,"Fax / Škola",Godina
1,1,1@1.com,1,1,1
2,2,2@2.com,2,2,2
3,3,2@2.com,3,33,3
4,4,2@2.com,44,4,4
Br.,"Naziv Tima",Iskustvo,"Zasto Ste Se Prijavili","Prednosti / Mane","Kada Bi Odustali",CV
69,GaGi,Ne,Motivacija,Prednost,Korona,gagidrive
Br.,"Ime i Prezime",Email,Telefon,"Fax / Škola",Godina
1,1,1@1.com,1,1,1
2,2,2@2.com,2,2,2
3,3,2@2.com,3,33,3
4,4,2@2.com,44,4,4
